Station_Names,Lines,Latitude,Longitude
Grand Central - 42 St,"['4', '5', '6', '7', 'S']",40.752468,-73.977486
5 Av,['7'],40.753972,-73.982292
Times Sq - 42 St 1,"['1', '2', '3']",40.756281,-73.987394
Times Sq - 42 St 2,['7'],40.755857,-73.987064
Times Sq - 42 St 3,"['N', 'Q', 'R', 'W']",40.754555,-73.98667
Times Sq - 42 St 4,['S'],40.755819,-73.98641
34 St - Hudson Yards,['7'],40.754968,-74.001011
42 St - Port Authority Bus Terminal,"['A', 'C', 'E']",40.757211,-73.989686
34 St - Penn Station 1,"['A', 'C', 'E']",40.75218,-73.993452
34 St - Penn Station 2,"['1', '2', '3']",40.750809,-73.990468
23 St 1,"['A', 'C', 'E']",40.745309,-73.998455
23 St 2,"['1', '2']",40.744077,-73.995661
23 St 3,"['F', 'M']",40.742913,-73.992788
23 St 4,"['N', 'Q', 'R', 'W']",40.7412,-73.989034
23 St 5,"['4', '6']",40.740016,-73.986333
14 St/8 Av,"['A', 'C', 'E', 'L']",40.740466,-74.002032
14 St,"['1', '2', '3']",40.738069,-74.000075
14 St/6 Av,"['F', 'L', 'M']",40.737948,-73.996354
W 4 St - Wash Sq,"['A', 'B', 'C', 'D', 'E', 'F', 'M']",40.732335,-74.000493
28 St 1,"['1', '2']",40.747067,-73.993505
28 St 2,"['N', 'Q', 'R', 'W']",40.745296,-73.988874
28 St 3,"['4', '6']",40.743323,-73.984069
18 St,"['1', '2']",40.741068,-73.997878
50 St 1,"['A', 'C', 'E']",40.76234,-73.986085
50 St 2,"['1', '2']",40.761426,-73.984055
49 St,"['N', 'Q', 'R', 'W']",40.760492,-73.983744
34 St - Herald Sq,"['B', 'D', 'F', 'M', 'N', 'Q', 'R', 'W']",40.749903,-73.987964
14 St - Union Sq,"['4', '5', '6', 'L', 'N', 'Q', 'R', 'W']",40.734534,-73.990322
8 St - NYU,"['N', 'Q', 'R', 'W']",40.730632,-73.992379
47-50 Sts - Rockefeller Ctr,"['B', 'D', 'F', 'M']",40.758851,-73.981188
42 St - Bryant Pk,"['B', 'D', 'F', 'M']",40.754833,-73.984123
7 Av,"['B', 'D', 'E']",40.762971,-73.9819
5 Av/53 St,"['E', 'M']",40.760261,-73.975417
Lexington Av/53 St,"['E', 'M']",40.757725,-73.969077
51 St,"['4', '6']",40.757127,-73.971737
33 St,"['4', '6']",40.746166,-73.981996
Astor Pl,"['4', '6']",40.730055,-73.991103
